Fold,Dataset,Oversample,Oversample Run Time,Oversample Paramaters,ROC AUC for Gradient Boosting,ROC AUC for Random Forests,ROC AUC for Logistic Regression,ROC AUC for K Nearest Neighbours,Balanced Accuracy for Gradient Boosting,Balanced Accuracy for Random Forests,Balanced Accuracy for Logistic Regression,Balanced Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors,F1 Score for Gradient Boosting,F1 Score for Random Forest,F1 Score for Logestic Regression,F1 Score for K Neighbors
3,Data\hcv_data_split.csv,BASE,NA,NA,0.908157602663707,0.8787458379578246,0.8587680355160932,0.7647058823529411,0.908157602663707,0.8787458379578246,0.8587680355160932,0.7647058823529411,0.9077909179549114,0.8770093465902512,0.8536011071727131,0.7276068751089989,0.7692307692307693,0.7368421052631577,0.7428571428571428,0.6923076923076924
,,,,,,,,,,,,,,,,,,,,
4,Data\hcv_data_split.csv,AIS,154.09049677848816," max_rounds = 100, stopping_cond = 20, model = gradientBoosting,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.7880133185349611,0.8598779134295228,0.7846836847946727,0.701165371809101,0.7880133185349611,0.8598779134295227,0.7846836847946725,0.701165371809101,0.7876685556800546,0.8591093134349276,0.7596950144520838,0.6386549406254911,0.5199999999999999,0.6666666666666666,0.6896551724137931,0.56
4,Data\hcv_data_split.csv,SMOTE,0.003999948501586914,NA,0.892896781354051,0.8976137624861266,0.8104883462819091,0.8140954495005549,0.892896781354051,0.8976137624861265,0.810488346281909,0.814095449500555,0.8901981971385244,0.8945512705165009,0.8037094908087015,0.7967748530680967,0.7999999999999999,0.8235294117647058,0.6315789473684211,0.7333333333333334
4,Data\hcv_data_split.csv,BASE,NA,NA,0.8010543840177581,0.8482241953385129,0.7846836847946727,0.7305771365149835,0.8010543840177581,0.8482241953385128,0.7846836847946725,0.7305771365149833,0.7953806702798529,0.836195602392526,0.7596950144520838,0.6827508503402977,0.6,0.8000000000000002,0.6896551724137931,0.6153846153846153
,,,,,,,,,,,,,,,,,,,,
5,Data\hcv_data_split.csv,AIS,225.71304631233215," max_rounds = 100, stopping_cond = 20, model = gradientBoosting,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.962037037037037,0.9194444444444445,0.6666666666666666,0.8953703703703703,0.962037037037037,0.9194444444444445,0.6666666666666666,0.8953703703703704,0.9616087343741692,0.9179284245476836,0.5773502691896257,0.8902766944004502,0.9333333333333333,0.8387096774193549,0.5,0.8571428571428571
5,Data\hcv_data_split.csv,SMOTE,0.0035004615783691406,NA,0.9768518518518519,0.924074074074074,0.9388888888888889,0.9287037037037037,0.9768518518518519,0.924074074074074,0.9388888888888889,0.9287037037037037,0.9765775461803858,0.9222891541976503,0.9388724521901158,0.926629362425259,0.8571428571428571,0.8666666666666667,0.8,0.896551724137931
5,Data\hcv_data_split.csv,BASE,NA,NA,0.9287037037037037,0.9333333333333333,0.8907407407407408,0.8666666666666667,0.9287037037037037,0.9333333333333333,0.8907407407407408,0.8666666666666667,0.926629362425259,0.9309493362512627,0.8861067572167505,0.8563488385776752,0.896551724137931,0.9285714285714286,0.8275862068965518,0.846153846153846
,,,,,,,,,,,,,,,,,,,,
,,AIS,,AVERAGE:,0.8938982197506524,0.8738584334524928,0.6797281101648912,0.8059110939045475,0.8938982197506524,0.8738584334524928,0.6797281101648912,0.8059110939045476,0.8936178580729383,0.872140068154101,0.5911219815162173,0.7741958285864674,0.7326855173811696,0.669880687536416,0.5008295852073963,0.705852813852814
,,SMOTE,,AVERAGE:,0.9452192861625719,0.9351425725667717,0.9043517727902577,0.8894346959679847,0.9452192861625719,0.9351425725667717,0.9043517727902577,0.8894346959679847,0.9445615615967403,0.9338910031816351,0.9024324103456125,0.8831643718681514,0.8293679653679653,0.867362523956951,0.7274191873545757,0.8229228243021346
,,BASE,,AVERAGE:,0.9175831380770336,0.8851915144474296,0.8653840012666242,0.7727053576676659,0.9175831380770336,0.8851915144474296,0.8907407407407408,0.7727053576676659,0.9156968497421074,0.8792950011996238,0.8566090573653075,0.7319530447927395,0.8426301828842664,0.8308604845446951,0.7853530377668309,0.6863842040312628
,,,,,,,,,,,,,,,,,,,,
Fold,Dataset,Oversample,Oversample Run Time,Oversample Paramaters,ROC AUC for Gradient Boosting,ROC AUC for Random Forests,ROC AUC for Logistic Regression,ROC AUC for K Nearest Neighbours,Balanced Accuracy for Gradient Boosting,Balanced Accuracy for Random Forests,Balanced Accuracy for Logistic Regression,Balanced Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors,F1 Score for Gradient Boosting,F1 Score for Random Forest,F1 Score for Logestic Regression,F1 Score for K Neighbors
1,Data\hcv_data_split.csv,AIS,21.303733110427856,"max_rounds = 100, stopping_cond = 20, model = kNeighbors,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.9594042056074766,0.892231308411215,0.6203271028037383,0.7140771028037384,0.9594042056074766,0.892231308411215,0.6203271028037383,0.7140771028037383,0.9591541250049539,0.8886617051320622,0.49765806675052415,0.6583397412835345,0.9090909090909091,0.8125,0.38095238095238093,0.5833333333333334
1,Data\hcv_data_split.csv,SMOTE,0.003500699996948242,NA,0.9953271028037383,0.96875,0.9188084112149533,0.8703271028037383,0.9953271028037383,0.96875,0.9188084112149533,0.8703271028037383,0.9953161335010483,0.9682458365518543,0.9177634333673184,0.8619690564084116,0.9696969696969697,0.967741935483871,0.823529411764706,0.8275862068965517
1,Data\hcv_data_split.csv,BASE,NA,NA,1.0,0.8969042056074766,0.9015771028037383,0.6515771028037383,1.0,0.8969042056074766,0.9015771028037383,0.6515771028037383,1.0,0.8929238960360225,0.8971658386586477,0.55639863340265,1.0,0.8387096774193549,0.8666666666666666,0.45454545454545453
,,,,,,,,,,,,,,,,,,,,
2,Data\hcv_data_split.csv,AIS,23.721656322479248,"max_rounds = 100, stopping_cond = 20, model = kNeighbors,K_folds = 5,scorer = 'f1',min_change = 0.005, use_lof = True",0.8792035398230089,0.9146017699115044,0.745575221238938,0.8,0.8792035398230089,0.9146017699115044,0.745575221238938,0.8,0.8789575482817221,0.9144852026362744,0.7039710372159766,0.7745966692414834,0.5142857142857143,0.6666666666666667,0.625,0.7499999999999999
2,Data\hcv_data_split.csv,SMOTE,0.0035004615783691406,NA,0.9101769911504425,0.941150442477876,0.9057522123893804,0.945575221238938,0.9101769911504425,0.941150442477876,0.9057522123893805,0.9455752212389381,0.9101200932134157,0.9402503903004651,0.9057339467530655,0.9444762560435749,0.6428571428571429,0.8571428571428572,0.6206896551724138,0.9
2,Data\hcv_data_split.csv,BASE,NA,NA,0.95,0.9,0.891150442477876,0.85,0.95,0.9,0.8911504424778761,0.85,0.9486832980505138,0.8944271909999159,0.8864765693263426,0.8366600265340756,0.9473684210526316,0.888888888888889,0.8000000000000002,0.8235294117647058
,,,,,,,,,,,,,,,,,,,,
