,Oversample,Oversample Run Time,Oversample Paramaters,ROC Accuracy for Gradient Boosting,Balanced Test Accuracy for Gradient Boosting,ROC Accuracy for Random Forests,Balanced Test Accuracy for Random Forests,ROC Accuracy for Logistic Regression,Balanced Test Accuracy for Logistic Regression,ROC Accuracy for K Nearest Neighbours,Balanced Test Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors
0,AIS,11.163229942321777,MinChange = 0.005,0.7875695732838589,0.787569573283859,0.7170686456400742,0.7170686456400742,0.6159554730983302,0.6159554730983302,0.6159554730983302,0.6159554730983302,0.772918234616442,0.6672848092813054,0.5114641212341614,0.5114641212341614
1,SMOTE,0.004907131195068359,NA,0.7105751391465678,0.7105751391465678,0.7105751391465678,0.7105751391465678,0.46289424860853434,0.4628942486085343,0.5992578849721707,0.5992578849721706,0.7103789262949269,0.7103789262949269,0.4220279690719979,0.5968376775623926
2,BASE,NA,NA,0.6716141001855288,0.6716141001855287,0.6966604823747681,0.6966604823747681,0.5909090909090909,0.5909090909090909,0.6261595547309833,0.6261595547309833,0.5968376775623926,0.6532351345433398,0.4264014327112209,0.5168765907047377
,Oversample,Oversample Run Time,Oversample Paramaters,ROC Accuracy for Gradient Boosting,Balanced Test Accuracy for Gradient Boosting,ROC Accuracy for Random Forests,Balanced Test Accuracy for Random Forests,ROC Accuracy for Logistic Regression,Balanced Test Accuracy for Logistic Regression,ROC Accuracy for K Nearest Neighbours,Balanced Test Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors
0,AIS,9.213207721710205,MinChange = 0.005,0.5768194070080862,0.5768194070080863,0.6239892183288409,0.6239892183288409,0.6859838274932615,0.6859838274932615,0.605121293800539,0.605121293800539,0.497974333332233,0.5243401706480785,0.635855855098946,0.5139561687500467
1,SMOTE,0.004333972930908203,NA,0.5916442048517521,0.5916442048517521,0.601078167115903,0.601078167115903,0.6536388140161725,0.6536388140161724,0.4824797843665768,0.4824797843665768,0.5687267663569999,0.5757919660260654,0.6484482825963503,0.44053385892861135
2,BASE,NA,NA,0.6765498652291105,0.6765498652291105,0.6765498652291105,0.6765498652291105,0.5,0.5,0.5336927223719676,0.5336927223719676,0.6294651817966896,0.6294651817966896,0.0,0.3634218921558155
,Oversample,Oversample Run Time,Oversample Paramaters,ROC Accuracy for Gradient Boosting,Balanced Test Accuracy for Gradient Boosting,ROC Accuracy for Random Forests,Balanced Test Accuracy for Random Forests,ROC Accuracy for Logistic Regression,Balanced Test Accuracy for Logistic Regression,ROC Accuracy for K Nearest Neighbours,Balanced Test Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors
0,AIS,14.021994590759277,MinChange = 0.005,0.5450081833060556,0.5450081833060556,0.5450081833060556,0.5450081833060556,0.5450081833060556,0.5450081833060556,0.5237315875613747,0.5237315875613748,0.37950782149960766,0.37950782149960766,0.37950782149960766,0.37078233740951155
1,SMOTE,0.0065958499908447266,NA,0.662847790507365,0.662847790507365,0.5924713584288053,0.5924713584288053,0.5711947626841245,0.5711947626841244,0.5924713584288053,0.5924713584288053,0.6510723874366718,0.5778225394274409,0.5605702030404621,0.5778225394274409
2,BASE,NA,NA,0.5450081833060556,0.5450081833060556,0.5556464811783961,0.5556464811783961,0.5384615384615384,0.5384615384615384,0.5662847790507364,0.5662847790507365,0.37950782149960766,0.3837961815881402,0.2773500981126146,0.38803715211806106
,Oversample,Oversample Run Time,Oversample Paramaters,ROC Accuracy for Gradient Boosting,Balanced Test Accuracy for Gradient Boosting,ROC Accuracy for Random Forests,Balanced Test Accuracy for Random Forests,ROC Accuracy for Logistic Regression,Balanced Test Accuracy for Logistic Regression,ROC Accuracy for K Nearest Neighbours,Balanced Test Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors
0,AIS,17.286293983459473,MinChange = 0.005,0.6771545827633378,0.6771545827633378,0.7058823529411764,0.7058823529411764,0.6655266757865937,0.6655266757865936,0.5766073871409029,0.5766073871409029,0.6448788049320706,0.6416889479197478,0.6363369866681609,0.41517059272909906
1,SMOTE,0.004000663757324219,NA,0.6019151846785225,0.6019151846785226,0.6545827633378933,0.6545827633378933,0.5492476060191519,0.5492476060191518,0.5841313269493844,0.5841313269493844,0.5975325460917178,0.6512116456169537,0.5435859050002226,0.572989854588205
2,BASE,NA,NA,0.66484268125855,0.66484268125855,0.7120383036935706,0.7120383036935705,0.5588235294117647,0.5588235294117647,0.6176470588235294,0.6176470588235294,0.5871398829359686,0.6698510359749523,0.3429971702850177,0.48507125007266594
,Oversample,Oversample Run Time,Oversample Paramaters,ROC Accuracy for Gradient Boosting,Balanced Test Accuracy for Gradient Boosting,ROC Accuracy for Random Forests,Balanced Test Accuracy for Random Forests,ROC Accuracy for Logistic Regression,Balanced Test Accuracy for Logistic Regression,ROC Accuracy for K Nearest Neighbours,Balanced Test Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors
0,AIS,21.04982852935791,MinChange = 0.005,0.6636363636363636,0.6636363636363636,0.6818181818181818,0.6818181818181819,0.5818181818181818,0.5818181818181818,0.5,0.5,0.6090230627070627,0.6208498574168682,0.4390071442781686,0.0
1,SMOTE,0.0035867691040039062,NA,0.5272727272727272,0.5272727272727272,0.5818181818181818,0.5818181818181818,0.43636363636363634,0.4363636363636364,0.6272727272727272,0.6272727272727272,0.4134115273055299,0.5526794237662059,0.36680438185149117,0.5846521887568555
2,BASE,NA,NA,0.6818181818181818,0.6818181818181819,0.6454545454545454,0.6454545454545455,0.5,0.5,0.5,0.5,0.6208498574168682,0.5969620057957092,0.0,0.0
,Oversample,Oversample Run Time,Oversample Paramaters,ROC Accuracy for Gradient Boosting,Balanced Test Accuracy for Gradient Boosting,ROC Accuracy for Random Forests,Balanced Test Accuracy for Random Forests,ROC Accuracy for Logistic Regression,Balanced Test Accuracy for Logistic Regression,ROC Accuracy for K Nearest Neighbours,Balanced Test Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors
